Degrees_x,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
-51,-1094.0,19.278722595465865,-13.379152757693653,3.469812451511782,66.28507210215936,-2.8927193451075266,-0.8962967923658093,-51.0,2.7547666379699134,11.726336777561565,47.666666666666664,3.6735633164362405,-13.055943023309228
-50,-1095.1666666666667,19.261575357347418,-13.40237940232016,3.5107421807941797,65.35753774096786,-2.8443198324928276,-0.8744762238447631,-50.0,2.7551792206945165,11.696263991634362,46.5,3.8972379868510743,-12.975425743149296
-49,-1096.6666666666667,19.24011406848918,-13.439388860395562,3.5471122788995757,64.15729312354583,-2.7814276016919464,-0.8424864837704354,-49.0,2.7488444765070548,11.635327873516841,45.333333333333336,4.205119668497503,-12.857440187443151
-48,-1098.0,19.221657630545636,-13.47666243967278,3.564020202373668,63.08541228908865,-2.7232044611915414,-0.8088860993333443,-48.0,2.738535344616569,11.558054959107224,44.333333333333336,4.496978520512287,-12.73518785386185
-47,-1099.3333333333333,19.1960699427843,-13.507899073948607,3.5822769297019383,62.01562409337038,-2.66608948636727,-0.7822080220340907,-47.0,2.7278823025317394,11.491119305194902,43.333333333333336,4.775811582240722,-12.611834522474757
-46,-1100.6666666666667,19.17213514483964,-13.5385510370887,3.6019495079080586,60.93842998992667,-2.6104193215867126,-0.7580072428279144,-46.0,2.71533518181449,11.428355768045966,42.333333333333336,5.052598347036849,-12.48659845605418
-45,-1101.6666666666667,19.158623123545656,-13.562582793459761,3.6140517765663556,60.11993807810743,-2.567858394007594,-0.7337195595388079,-45.0,2.7061729571205215,11.37230026932824,42.0,5.267576954095773,-12.381114295064895
-44,-1102.8333333333333,19.145382665858364,-13.593698705763126,3.6161772416250884,59.17397391882675,-2.5165411225402745,-0.7198396914962614,-44.0,2.6812884802082735,11.30429677537831,40.833333333333336,5.526773735350733,-12.262097964608472
-43,-1104.3333333333333,19.130305502157793,-13.635195740135359,3.6230831677026543,57.94350748561547,-2.448846057991069,-0.7003404613709353,-43.0,2.643254414145179,11.220023010885654,39.333333333333336,5.862907211215268,-12.10503963915113
-42,-1105.6666666666667,19.11145769653102,-13.669583832512705,3.6438371446895874,56.84179685101179,-2.3862238313657236,-0.6786727613551643,-42.0,2.6085410263455664,11.156195925303615,38.666666666666664,6.15279756622828,-11.966603954610207
-41,-1106.8333333333333,19.096227468724955,-13.703502811011594,3.6829007560924185,55.9010312894992,-2.327826752213963,-0.6592939616090793,-41.0,2.5719748110474527,11.117993768293545,37.5,6.39277490765683,-11.862079477294927
-40,-1108.1666666666667,19.06731185711533,-13.741034174783762,3.7188788565105377,54.831578265747716,-2.2609221334505083,-0.6300494066259402,-40.0,2.532851071598841,11.063151080758672,36.833333333333336,6.665791892554821,-11.726950160540035
-39,-1109.3333333333333,19.031029961696742,-13.772715139736755,3.737672463515491,53.89699123183835,-2.203155553749406,-0.5958759024830224,-39.0,2.501390500397836,10.997549087301385,36.0,6.907923248496424,-11.588499622723809
-38,-1110.8333333333333,18.98525596218602,-13.82032412327087,3.7433280866517227,52.70485120144408,-2.1295049557482586,-0.5405072722544935,-38.0,2.456244641648396,10.883229473068885,34.5,7.233727958484117,-11.384101361843515
-37,-1112.3333333333333,18.933234186413596,-13.873028208918115,3.742815268080612,51.52588027444039,-2.0590908884881807,-0.48237226108754455,-37.0,2.4060219872314543,10.763177323106932,33.666666666666664,7.558376838669879,-11.17259824266083
-36,-1113.6666666666667,18.882311535927936,-13.921686056517979,3.741735770342375,50.50889719480145,-2.0061133471199613,-0.4204280273124265,-36.0,2.370675858550278,10.654306200796213,32.666666666666664,7.8284714857648945,-10.974784552493285
-35,-1115.0,18.829838690417233,-13.97118423344891,3.7312535020968447,49.51173760906763,-1.9576404140929096,-0.3548081405109558,-35.0,2.3367255423403392,10.535681377239884,32.0,8.094372964336698,-10.765283238919162
-34,-1116.5,18.771542527133096,-14.029511493920062,3.7200296735715486,48.39816781844245,-1.90562060924195,-0.2792431567025323,-34.0,2.292260680578287,10.401650656016574,30.5,8.391584597027942,-10.525756809484404
-33,-1118.1666666666667,18.69902169827885,-14.102568150621165,3.730818251739965,47.18882535179264,-1.8488107500564974,-0.20605256060316335,-33.0,2.22643790714514,10.288996876678397,29.5,8.70586568477256,-10.295796453627359
-32,-1119.5,18.6398852902598,-14.165556985248946,3.7628271392716766,46.248387742623066,-1.803428962594409,-0.1658542575091301,-32.0,2.1584273375637233,10.239234824385706,28.833333333333332,8.942826620681977,-10.153229532845309
-31,-1121.1666666666667,18.56183725904626,-14.233507709110215,3.787661485791917,45.07617313694387,-1.7464494028611164,-0.15238363639289842,-31.0,2.063126641981042,10.194650618203832,27.5,9.236162068152174,-9.988973730363462
-30,-1122.8333333333333,18.476728273019035,-14.30377366079533,3.796466878657622,43.902956540127,-1.68182907527728,-0.17637640820452827,-30.0,1.940644166308586,10.170037026004351,26.5,9.5421715254642,-9.845999404193536
-29,-1124.1666666666667,18.410636738284136,-14.372374519794022,3.7967432747734446,43.03580964713114,-1.769238551537935,-0.26568498946252367,-29.0,1.9271833518740145,10.270142140961783,26.0,9.650518004495352,-9.806269585885746
-28,-1125.8333333333333,18.32747945976108,-14.468541853383245,3.8043655579083917,41.991708301642745,-1.9188709366292784,-0.4035689966995637,-28.0,1.9289852315819467,10.440990162509417,24.833333333333332,9.745356754612034,-9.795056722211365
-27,-1127.6666666666667,18.23420660572593,-14.572817997711693,3.8091178227199918,40.9584201168519,-2.343981186652872,-0.6111127343776832,-27.0,2.1571788079386436,10.783193484679309,24.0,9.570237813089756,-9.84610768816259
-26,-1129.3333333333333,18.15214222522582,-14.667696429633352,3.80447289269312,39.950758572882314,-2.5583572345320436,-0.6994094233966518,-26.0,2.252073347973217,10.911812979586005,22.833333333333332,9.594404526481085,-9.768650109218344
-25,-1131.0,18.08126991808558,-14.754676285130294,3.8130651791148655,38.83251868925186,-2.520600058747218,-0.6361879661537575,-25.0,2.1798775885948696,10.805862797992342,21.666666666666668,9.872515142008046,-9.52384422305296
-24,-1132.6666666666667,18.024232251204825,-14.848979131318794,3.8447269088303884,37.760044091341506,-2.458484390027739,-0.5080875515695833,-24.0,2.0979568370382142,10.654549138890898,20.833333333333332,10.164376863931052,-9.241220171215867
-23,-1134.5,17.960538462704623,-14.97111664733535,3.889016610790802,36.609795609716876,-2.3837548073805626,-0.3448789967090355,-23.0,1.9810393602569816,10.474672995542793,19.666666666666668,10.50024933113908,-8.9236198842832
-22,-1136.5,17.89677627261248,-15.110273218052361,3.949245257367982,35.363346079903245,-2.2915555578431204,-0.14706857095338827,-22.0,1.8336433878342164,10.267349121895576,18.666666666666668,10.877619336772765,-8.563576599630379
-21,-1138.3333333333333,17.860747559443748,-15.242755119004306,4.040327027155398,34.25740341078606,-2.185644397686375,0.06637833265862599,-21.0,1.6747069255667524,10.076779104519336,17.5,11.234997216704125,-8.234812293010341
-20,-1140.0,17.83055697867145,-15.362813246658765,4.140890160336977,33.26952067458973,-2.085245167052269,0.268292101468047,-20.0,1.5199780735783037,9.914623522505673,16.833333333333332,11.556481708559767,-7.9437055570623585
-19,-1141.6666666666667,17.7990168201989,-15.481810923315301,4.236493812714019,32.29852190438936,-1.9896713706652733,0.4665202745890587,-19.0,1.362055693813078,9.754065339578665,16.0,11.871611021397001,-7.6503054282937635
-18,-1143.5,17.761053186037987,-15.596661070330827,4.341464581921763,31.242817757906597,-1.8937970444403511,0.6771080873545049,-18.0,1.203842246700204,9.588072181346389,14.833333333333334,12.191852755317946,-7.327732353450318
-17,-1145.5,17.728532193633416,-15.730418849858928,4.47571165438551,30.09687028367378,-1.8106889537443827,0.870638380248557,-17.0,1.026166872908937,9.468967005336033,13.833333333333334,12.524091347720288,-7.0256114844579445
-16,-1147.5,17.712387367519117,-15.867191442455777,4.567677194864596,28.973077919907325,-1.7376234857325878,1.030288683842147,-16.0,0.839915955128664,9.345357744195319,12.666666666666666,12.858648923266069,-6.7101176420357715
-15,-1149.6666666666667,17.691059357255895,-16.02464466980429,4.601877391894516,27.811174716911676,-1.6578546112648407,1.1160108422596027,-15.0,0.6049388846578693,9.237459950400547,11.611111111111112,13.235381783878983,-6.398417261096533
-14,-1151.8333333333333,17.630565388999262,-16.184417227291316,4.589661682855909,26.690633275724352,-1.5766660562881134,1.1158186895716176,-14.0,0.3486963980057327,9.17532884891841,10.5,13.61123797983796,-6.138648821443213
-13,-1154.0,17.5395550353992,-16.31413260600789,4.545735811293812,25.624622486794113,-1.504827615340031,1.0391783215670058,-13.0,0.12280547600543133,9.168537525221062,9.555555555555555,13.938536807017803,-5.9332100597991975
-12,-1156.1666666666667,17.463096789760318,-16.416891946869743,4.53887102200578,24.607422435667306,-1.4453946149860089,0.9796491089132443,-12.0,-0.05977629656807645,9.186771242694975,8.666666666666666,14.212271871197876,-5.746032254595913
-11,-1158.3333333333333,17.415582576757476,-16.518350622325386,4.568546648820969,23.63712687443751,-1.3969692518902541,0.9722787663088407,-11.0,-0.22311715203213536,9.192166891553684,7.666666666666667,14.462694828953772,-5.542717238647072
-10,-1161.0,17.37343030710144,-16.64893689345332,4.624813830804683,22.49416927894782,-1.3485075278906924,0.9858015557842966,-10.0,-0.4166996301531835,9.19958569337983,6.5555555555555545,14.755333777374863,-5.292978504080927
-9,-1163.6666666666667,17.33340630287016,-16.789139321681834,4.660853579979246,21.393114118813354,-1.297661459631808,1.0086281176358776,-9.0,-0.6219801146118294,9.179961461913356,5.388888888888889,15.054744904675792,-5.018389832325276
-8,-1166.1666666666667,17.335384713176378,-16.951140557737144,4.7102889005972,20.39564686334104,-1.2599956532705987,1.0506068209028876,-8.0,-0.8340224879619057,9.158818014412043,4.5,15.351562267878263,-4.751358271525922
-7,-1168.8333333333333,17.355248693853415,-17.10281587979091,4.776282802619201,19.367847054275078,-1.2492767518182333,1.0004760308958094,-7.0,-1.0164948183803135,9.250474148083862,3.3888888888888893,15.612441980943757,-4.569161763953986
-6,-1171.5,17.318828270797052,-17.224961054404883,4.850100602239968,18.405704091475855,-1.258496873632484,0.7737899100681744,-6.0,-1.1497165084127092,9.5382687989803,2.5,15.809379944541414,-4.59967385134921
-5,-1174.3333333333333,17.249734825090513,-17.341164464648305,4.912423849731656,17.444221326019115,-1.2647401213417588,0.4222315661154494,-5.0,-1.2730542978224013,9.945653154621207,1.6666666666666667,15.998550105009356,-4.7477831098962815
-4,-1177.6666666666667,17.131719342943523,-17.4468719010687,4.999611256440764,16.39020787505826,-1.2792481421558959,0.09274701648065227,-4.0,-1.3676754810793825,10.354116160742334,0.7222222222222222,16.170605531496335,-4.8805002719483435
-3,-1181.5,16.941899272074657,-17.50840369391761,5.062896195134574,15.277532960809275,-1.2980258390582236,-0.20981851865898962,-3.0,-1.404206113424254,10.710659291608904,-0.16666666666666666,16.29157960472747,-4.9606002105435225
-2,-1187.5,16.42888398594955,-17.414132477323847,5.244129860408252,13.85038969153778,-1.3430748060344493,-0.5666214314313923,-2.0,-1.246212023682636,11.237788979304902,-1.1142857142857143,16.230484247990002,-5.218774870334397
-1,-1197.8333333333333,15.289215613651143,-16.92591951183166,5.326869089790492,11.873724960603704,-1.3596589473596123,-0.7489305531009954,-1.0,-0.7226642397350705,11.486429562470109,-2.0,15.796423376876675,-5.24246997675263
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
19,,,,,,,,,,,,,
18,,,,,,,,,,,,,
17,,,,,,,,,,,,,
16,,,,,,,,,,,,,
15,,,,,,,,,,,,,
14,,,,,,,,,,,,,
13,,,,,,,,,,,,,
12,,,,,,,,,,,,,
11,,,,,,,,,,,,,
10,,,,,,,,,,,,,
9,,,,,,,,,,,,,
8,,,,,,,,,,,,,
7,,,,,,,,,,,,,
6,,,,,,,,,,,,,
5,,,,,,,,,,,,,
4,,,,,,,,,,,,,
3,,,,,,,,,,,,,
2,,,,,,,,,,,,,
1,,,,,,,,,,,,,
0,,,,,,,,,,,,,
-1,-1223.1666666666667,13.737930920151188,-16.02528224848695,5.394539042794108,10.236546817111396,-1.3256577750188876,0.0341572612458139,-1.0,0.09706171618860994,10.743365818700019,-2.0,14.943496301897175,-4.538516292747517
-2,-1261.0,14.295025027122525,-16.359637778482526,5.185350218755729,11.395181640410103,-1.4782994418656241,0.3043059620452609,-2.0,-0.0975881546855333,10.261058723553925,-1.6355397951142632,15.069871808524894,-4.213575034273685
-3,-1284.1666666666667,15.691822423643368,-16.814611087163048,5.238409187959137,13.652959977925873,-1.5533882917644715,1.1369302527370302,-3.0,-0.4993210687064167,9.47051738352336,-0.7181818181818181,15.379726269161791,-3.680039439032276
-4,-1293.0,16.27940739543998,-16.90376907024771,5.141738592960307,15.157923838696526,-1.55963534462309,1.5730746689242103,-4.0,-0.5692659802440608,8.946651045388988,0.2222222222222222,15.383692856550027,-3.419391779857166
-5,-1299.1666666666667,16.5942207890426,-16.872676268730604,5.089816557856887,16.43945789001312,-1.5475546646272136,1.8238787758659767,-5.0,-0.5224781934770247,8.662048769788468,1.2444444444444442,15.278781818445777,-3.4045726096763573
-6,-1303.8333333333333,16.80816157114138,-16.826294699420412,5.087992853784612,17.54970437836549,-1.5215285073096467,2.0784266174080144,-6.0,-0.4682403782565068,8.422005390999571,2.1666666666666665,15.175227401007602,-3.4140653462808275
-7,-1307.8333333333333,16.895511814108144,-16.744674569702998,5.093670949243908,18.595137129515496,-1.4973624904669016,2.3784334869731247,-7.0,-0.3654097797852989,8.144545331035811,3.1666666666666665,15.023146344209005,-3.3987720641210877
-8,-1311.6666666666667,16.992396545706498,-16.62923789317805,5.136580634062829,19.66131425778433,-1.4894570270236758,2.564390598094808,-8.0,-0.208587969901005,8.024641827006004,4.083333333333333,14.811840821312856,-3.531531934029813
-9,-1315.3333333333333,17.107852273588346,-16.51221547920885,5.129990098163245,20.767223825546033,-1.4777511779732013,2.515872519800578,-9.0,-0.06445946271835316,8.098826710997146,5.2,14.59889955289359,-3.8477840910413637
-10,-1318.8333333333333,17.215900468405607,-16.382851341312104,5.062855455638602,21.91139599728518,-1.4710741854765885,2.454492487870033,-10.0,0.09239535439019127,8.127369423648545,6.266666666666667,14.365290287644171,-4.118400424584897
-11,-1321.8333333333333,17.271545316757017,-16.22493919818365,4.967791193447994,23.00725348044068,-1.479162340020103,2.3728138653402593,-11.0,0.2912204963923591,8.150274313527289,7.25,14.093010822457893,-4.371330917215025
-12,-1324.5,17.216961865426484,-16.076882493600674,4.863201867310377,24.0735763384957,-1.5000648200973214,2.2582850773654335,-12.0,0.48844066131516356,8.201373096884689,8.222222222222221,13.811597752556724,-4.6635207485914725
-13,-1327.1666666666667,17.27132695491923,-16.003313341701585,4.740541813399343,25.099450433966613,-1.5467052632340266,2.262870028050578,-13.0,0.6425695569596682,8.113176211518253,9.222222222222221,13.593371805851033,-4.781709644829789
-14,-1329.8333333333333,17.35998831926102,-15.95382816876156,4.5212723126607735,26.2234838827672,-1.625936771325475,2.209303391149609,-14.0,0.7964348836158582,7.997512079856114,10.222222222222221,13.373916072470985,-4.875743845388342
-15,-1332.1666666666667,17.36027029040937,-15.840267004823014,4.363513844520882,27.319051356250696,-1.6986093001704254,2.0669966794195194,-15.0,0.9932526541923151,8.038024324945896,11.333333333333334,13.082003322886948,-5.121171862052235
-16,-1334.1666666666667,17.352501761401857,-15.69394815369059,4.311844894485301,28.29364660319223,-1.7646326295536736,1.9312100370521363,-16.0,1.2059378940359633,8.173497563942881,12.166666666666666,12.762378085692646,-5.425612972650481
-17,-1336.5,17.40959090756377,-15.57716801301122,4.322669070942335,29.387595430709627,-1.8333436658564706,1.8463417444207397,-17.0,1.3990705807562822,8.324989720211134,13.305555555555555,12.44228234413176,-5.753849877839308
-18,-1339.0,17.5170709760612,-15.512489177809726,4.3011679483165794,30.518729938021394,-1.8933402521667289,1.8432170331043303,-18.0,1.5483347886429026,8.36231400705819,14.444444444444445,12.185673476492608,-5.971978176199172
-19,-1341.5,17.65255837894014,-15.47797662405653,4.202822413583658,31.72083902452393,-1.947625857810498,1.8211682783750123,-19.0,1.650437643228086,8.341838093200275,15.222222222222221,11.982790579404742,-6.148639961737218
-20,-1343.8333333333333,17.822226529244144,-15.423106477542234,4.091400727635932,32.890408479627546,-1.9895708138551125,1.812084695023745,-20.0,1.7637279235219412,8.292716600760736,16.333333333333332,11.77801973251608,-6.272752275243749
-21,-1346.0,17.946867612389724,-15.311801915286821,4.078862983307668,34.013697371621,-2.0141650558356674,1.7952524670210217,-21.0,1.9191181589497877,8.34878056539961,17.444444444444443,11.504399670482522,-6.481141544718124
-22,-1348.1666666666667,18.051787717227477,-15.178377404172517,4.223823689743164,35.160616741128514,-2.0244416000982115,1.7960818302937007,-22.0,2.086638813735249,8.543101790915813,18.5,11.167879301212695,-6.8223948543229715
-23,-1350.1666666666667,18.158689462258902,-15.068345772706017,4.406010736298359,36.24113526801942,-2.032722641451839,1.8266364693851636,-23.0,2.2323370996758007,8.741152108164316,19.5,10.849607250774389,-7.153269482940928
-24,-1352.1666666666667,18.245881452619308,-14.976124366566738,4.502200496283991,37.32967506013755,-2.0408687811536095,1.8507838252977507,-24.0,2.35873422838845,8.86132231804754,20.333333333333332,10.565226439174687,-7.412276265346907
-25,-1354.1666666666667,18.301716876166235,-14.89783656827045,4.450819802128382,38.44431175726947,-2.0556300548967164,1.8577491793734797,-25.0,2.4725277417230083,8.856549671114514,21.5,10.3241971325013,-7.557901137740331
-26,-1356.0,18.320756033547664,-14.8352946658143,4.312917949641862,39.48794524083644,-2.0127629076406115,1.8500504832432976,-26.0,2.5117922336088983,8.759106074735096,22.5,10.184337140285654,-7.630539549990115
-27,-1357.6666666666667,18.30649855889415,-14.752982556981587,4.210172878931751,40.41791533572434,-1.8498938012347235,1.873024549788591,-27.0,2.4676209978687815,8.614941850842554,23.166666666666668,10.1466285786777,-7.681275247643708
-28,-1359.3333333333333,18.283621711990083,-14.636733317124056,4.164398229138777,41.35993994077328,-1.7688612948259077,1.8940983204418564,-28.0,2.5335962704234696,8.557799534669035,24.333333333333332,9.982125524313659,-7.773896756712811
-29,-1361.1666666666667,18.256236724282857,-14.50466073006614,4.145261532415619,42.45033398146622,-1.7933865313158952,1.8516751019747077,-29.0,2.6897211158012606,8.63652028940818,25.333333333333332,9.658519425891344,-7.967685019070676
-30,-1362.8333333333333,18.240782577425925,-14.385004964223612,4.12744221680635,43.40721984615501,-1.8265439625540951,1.8081964602373475,-30.0,2.836421755433717,8.716386808813272,26.333333333333332,9.355780198435669,-8.131410806340268
-31,-1364.5,18.237968147014058,-14.296227943255985,4.090988904713254,44.259281294344284,-1.609744515122637,1.8633802229546053,-31.0,2.7663292887628206,8.5693580496591,27.166666666666668,9.355009139766242,-8.171501250293467
-32,-1366.6666666666667,18.231169442705152,-14.190789274228804,4.0226514671167015,45.26627874475366,-1.1714217794080954,1.9823856537949756,-32.0,2.553674040058013,8.229519731772676,28.222222222222225,9.551449579286237,-8.14483508765083
-33,-1368.5,18.2180088320474,-14.101664366340104,3.97352752880234,46.248059767963895,-1.1368381827971328,1.9349780555361014,-33.0,2.610182873288868,8.242422265335497,29.333333333333332,9.355157615325892,-8.289119927434347
-34,-1370.0,18.19093112163804,-14.034012758133954,3.943765652055667,47.155256824737485,-1.1852069532255314,1.838725703633279,-34.0,2.6892437213352554,8.35489294932998,30.166666666666668,9.095711602031468,-8.4917588665878
