from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
20,-8.748148797081917,-7.65841043292427,-7.520099297661018,-6.014339525687545,-7.572317721801527,-6.827941722544502,-7.940508893455416,-6.756113251378526,-8.260140152568667,-7.933758644765331,-7.8281115310404354,-6.712966896677566,-7.962135250716122,-8.074524336425617,-8.008119047136065,-7.452453411022823,7.515517212440765,6.334120291175541,8.84720607125212,6.230667174565305,8.814868880285214,5.967024049075057,8.190664810225604,6.008855249389536,7.03523567841611,5.624043412567392,8.178751182612018,5.086457805299956,7.9486825853616425,4.864691896195866,7.530195848040793,5.014267069007807
21,-8.773658217317337,-7.688704586568097,-7.339341276373859,-5.796159500891458,-7.577015937744278,-6.736422753977324,-7.8866025984191,-6.760837218786743,-8.2741228740056,-7.9797167321144995,-7.6465001976451745,-6.5397577522451,-7.984773820183017,-8.047767230252994,-7.956258533643322,-7.516013577812015,8.055962855552204,6.614648782516147,9.100627397023516,6.499786424273612,9.073173106277881,5.774328655412023,8.477004496583165,6.26697692150807,7.5747894427687745,5.907533093240792,8.415764314336089,5.339360070565018,8.17786320152396,4.685108157902455,7.799894192704613,5.276031793109425
22,-8.88586369741917,-7.584095675579344,-7.135572618916326,-5.650586781601915,-7.60755335475625,-6.481113698088424,-7.828748924659313,-6.691904707382446,-8.37926733384,-7.8689831804118135,-7.443087781101243,-6.426995435581795,-8.03284737564052,-7.850734799347194,-7.900661491763287,-7.4848264659830965,8.566815120790872,6.964997552893405,9.230290173994835,6.866371898244082,9.322978749940816,6.075738212545853,8.786475378608307,6.418449778724084,8.06581993628602,6.289968677171747,8.52339125845932,5.693933569703059,8.390887218165997,5.002803600934858,8.092014634250686,5.428858273615435
23,-8.976900276482835,-7.36660757176452,-7.093464139074999,-5.676067089708777,-7.6142492435973645,-6.100213829258136,-7.862293730416806,-6.580425487792183,-8.461232905458974,-7.653199056143405,-7.410673396337435,-6.4856469102882475,-8.048944624325317,-7.523645859998119,-7.940929368605985,-7.401788296682419,9.04000985777072,7.0419334069969945,9.361833574711994,7.042913340880704,9.491660276686899,6.337673821778598,9.083875815147893,6.694549702106655,8.51075296301983,6.408622459235981,8.626376293995236,5.8384774480216395,8.53033614137465,5.27244480957594,8.361027816149084,5.710416575376082
24,-8.98861950596915,-7.0613842081519795,-7.127498761596328,-5.814883282843071,-7.616906930948501,-5.81808977724714,-7.906216093892176,-6.4272348946219084,-8.466248819244306,-7.357124884877869,-7.465133441031335,-6.689567725437194,-8.064180523092208,-7.276776566039317,-7.991770323605209,-7.2888042138595734,9.616707871053764,7.111094650838081,9.724262746774233,7.2418785266416625,9.695758089011717,6.725946532651029,9.41864429374395,6.873828585139084,9.07167314491266,6.498796156560626,8.961879956935391,6.039665927423967,8.70173587886675,5.6808499495589135,8.667656353776623,5.906911065411962
25,-8.93880499873229,-6.79146102510045,-7.193877636432774,-5.883932600945852,-7.65849319227181,-5.635968431751907,-7.933134691116808,-6.25446886211499,-8.418614162878942,-7.095909749787287,-7.568071345945466,-6.8128489348800905,-8.113152023105798,-7.134877561772393,-8.03283356276066,-7.148916795265759,10.043460405555798,7.066476535085388,9.944397261100878,7.289422588825202,9.91933076417542,6.89892420186366,9.752287740388788,7.042154590771438,9.451664181332205,6.440749619359029,9.151663237853587,6.096560289115677,8.883891060735255,5.887107832162514,8.975024087210999,6.092068798411739
26,-8.812585945571886,-6.617601319305615,-7.261771973175717,-5.882309423234455,-7.753496250713409,-5.485113469010369,-7.953023388059939,-6.103246293362271,-8.302348540588287,-6.9455879646962995,-7.665492982033305,-6.861585620864902,-8.200714426869071,-7.036764103076026,-8.065753056006015,-7.030790977474861,10.358287548637321,7.026673992492138,10.011681416182975,7.326104272189224,10.068056621743416,6.907145882455006,9.991490861971398,7.097168336379425,9.718224722100537,6.370151664677961,9.172256061865594,6.136228562215913,8.99612372881427,5.878238481370701,9.169270434644352,6.154695337912486
27,-8.728949337164364,-6.538875382404832,-7.336726575444561,-5.887795248592996,-7.786432386386777,-5.409175569956801,-7.967602923909953,-5.99683667896966,-8.23075289410049,-6.898560437412553,-7.765313849149794,-6.915201189891722,-8.244698768561388,-6.997723245069441,-8.08945893886905,-6.965851085888016,10.555668225833108,7.194392870059489,10.113357442924485,7.7710922857205595,10.211303364898784,7.193226665801973,10.179900537768408,7.2349707202225675,9.871700583159246,6.545661739380427,9.228280191328084,6.578851697034989,9.09844101027089,6.155022186985573,9.314209547414295,6.275747281027884
28,-8.677944206890686,-6.554785144034442,-7.426334983729763,-5.860109226407233,-7.809962734164722,-5.408593270128257,-7.9805722357603015,-5.936053392922955,-8.206478228785652,-6.933443076743849,-7.867576462261835,-6.937104356844539,-8.300071166158679,-7.037268916231142,-8.114342708307904,-6.944462679775511,10.74039725474444,7.442107014804586,10.226480571936825,8.127833896135648,10.350832503618264,7.450161572009641,10.331150720889573,7.505151143999036,10.010307729787261,6.781044987534767,9.324226338222816,6.848700147365332,9.181868447104673,6.437300831502288,9.43145597721765,6.516461357910444
29,-8.658159560060058,-6.650923573677288,-7.42469229366294,-5.772250872545319,-7.833099369254322,-5.539093519401828,-7.970866411572783,-5.911876428902673,-8.220117225747178,-7.0457787846835584,-7.866517531752042,-6.896987441702786,-8.36124845235948,-7.238710475189675,-8.124355642232125,-6.9558998115592585,10.969153009570853,7.691685971599559,10.354914382024752,8.040561971908001,10.507786783211731,7.481836567164777,10.48204804679582,7.64427685290741,10.212012867621809,6.95713873948185,9.446474482443088,6.661031794788121,9.281502050231426,6.51734746940825,9.546216886445007,6.626459204608392
