from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
35,4.701264900798328,2.5951781585190323,2.4921936918104586,0.9876643147374207,1.058026577014588,0.4583891778294591,2.354505360234348,1.2945764503654038,1.9660024963879723,0.6697936155222317,0.96577232611271,-1.0665722036646352,-0.017012610543896578,-1.6035369693794501,0.4922011317404909,-0.7683628175894442,13.21839397499144,12.935028049984783,12.017170994124863,14.653096644730702,13.316716901540094,15.716355764889695,12.365793490823563,13.86079548828962,9.1518642915808,9.569933390402987,8.624363333891399,10.820297420521875,10.289389278868867,11.841154920137631,8.868567321349571,10.217065155514158
36,4.7189625072650045,2.862931837621747,2.9337944996107477,1.035501380982879,1.3283140985482982,0.16231427930206532,2.4779070704461703,1.416521045839832,1.999706425665894,0.9929533219201128,1.4290950730529142,-0.9849761468232083,0.3341027701739292,-1.8181219689837254,0.6566530202323468,-0.6241726647443887,13.500509758896001,13.283503034996027,12.393001208103229,14.850065225930477,13.521068711201515,16.086457559921143,12.635349514483634,14.166782587909843,9.418483145811589,9.909497270518923,9.020428757057715,11.03463840951301,10.509447538540652,12.185596041117797,9.130206244604253,10.49295205835096
37,4.8552567833953635,3.267038985005902,3.3666594551077678,0.9471750575302038,1.7234724702611846,0.055034921761782485,2.715666878166058,1.6200228379571016,2.1512766543005837,1.473338237941106,1.9459157275354246,-0.9938866439265941,0.8502778669543964,-1.8836302891028511,0.9241254172737364,-0.378496458702213,13.828661062435742,13.443535701108965,12.70643853854434,14.900654926508073,13.695158515064893,16.340644121691476,12.911585526645405,14.379418895028698,9.744661371908684,9.97581478818186,9.351465401847065,11.094023118485222,10.709612480186879,12.38864911306192,9.407688702362035,10.662469436580617
38,5.100586633063921,3.628296029119555,3.7213719888013266,0.8868017087095419,2.0322420395783163,0.16438888629857829,3.0308025698964194,1.707395529310631,2.419438936840287,1.910979864048877,2.3866838327699016,-0.9606263737383829,1.2469808283789048,-1.7557997651221142,1.2771737997831016,-0.2258444173845938,14.213913671549207,13.574630874909953,13.02865204605399,14.65442308965531,13.872480843821219,16.550396258475324,13.238704758222456,14.578175438897603,10.141944950305566,10.020303933712816,9.678181453045756,10.776140470270118,10.917186461114543,12.522435878450462,9.745757784940073,10.834958775975425
39,5.383921863332325,3.768318466420384,3.7375407377286542,0.9134260481436378,2.203962170512919,0.3134033598917503,3.359631805662797,1.6259359344175512,2.7567454276719565,2.110559238161536,2.4284931097918325,-0.8798093041857351,1.496368883282872,-1.5815387134220762,1.6789213084604366,-0.23381645824959443,14.48092894677373,13.908474357453787,13.428498135382823,14.581529478073502,14.082905204543515,16.74111205460934,13.501361462286056,14.841828349617183,10.40801799332846,10.355028048145979,10.072027434654395,10.646508757205709,11.166263232972668,12.679369725217043,10.016290891348131,11.096735362256277
40,5.641724328065528,3.692737646215077,3.5172843057216117,1.0222787069827204,2.1767555621309658,0.32217080123504793,3.6955229290426796,1.5448580922288004,3.0745499284430653,2.081342895336742,2.2103742675231595,-0.7060484494996455,1.540769337692693,-1.5084447805626318,2.103837209389121,-0.25430458916816406,14.666443919512226,14.341128618427488,13.741268185507543,14.753438645781005,14.299584166419795,17.09903340209991,13.738721558922578,15.02733642266798,10.607857993370734,10.816943989878869,10.391267463574106,10.829594709225429,11.42666930692776,13.052183810246817,10.265162328319047,11.259560167088928
41,5.982018535335683,3.620427925086922,3.3430802250296394,1.18498081744589,2.0192788506464883,0.31861082814061437,3.917267104214218,1.5660809531763793,3.473224556497656,2.029306562858735,2.0620101639537465,-0.48964325179239143,1.4108206128440126,-1.4225286209388397,2.382899498222798,-0.20210083548303817,14.973480867348385,14.766047352643252,14.086935540992727,14.990016452496842,14.496497884799663,17.455704486448496,14.0323791725987,15.229406984136077,10.964820440416124,11.237695819622148,10.758766434352912,11.140186212893418,11.663238942176795,13.447623969133822,10.582153451752466,11.42428456329659
42,6.390319452299286,3.53985835320972,3.3281547974500927,1.272336441909668,1.9091568609827965,0.3939519399693374,4.0371886428446055,1.6251801400280634,3.935283035977518,1.943553787014449,2.0408226797526425,-0.368639243833762,1.3016869760216228,-1.2787906060032692,2.547342062261183,-0.11467779196909089,15.226813373976508,15.034740411890924,14.427184151852554,15.154732192315228,14.718763166686127,17.572767246324332,14.280187467768423,15.446191772049085,11.24595592550457,11.453308384322908,11.127867881154522,11.382431398544195,11.924003840680701,13.589888585740566,10.851469950064407,11.601779657332932
43,6.576134969087755,3.3476703696454644,3.400269326551555,1.208521389007795,1.9331817855690638,0.5809519840637072,4.031990252082786,1.6182739961088008,4.153333790610937,1.7453752097461646,2.1216289337177328,-0.4018419019025341,1.3209865287233242,-1.0685180046265046,2.5853710974191255,-0.08423760753628622,15.378130703852278,15.324583516307579,14.7408678526991,15.199444142023221,14.90280481495451,17.52861851823502,14.515990483129507,15.68523734113792,11.420048140489994,11.722599236170902,11.467305284258469,11.449438038095355,12.130458282313775,13.54836931014443,11.115025935938524,11.847385058093787
44,6.632340561166832,3.161511881522085,3.5597391695843013,1.0805176813788355,2.06694526902644,0.812357600599511,3.993258069754471,1.5841530505241226,4.233869133499557,1.5914459405138492,2.3434398750308607,-0.4945605792907557,1.4668861433151221,-0.8721588869252912,2.561837475365404,-0.06657397475291749,15.593127029744382,15.787870620111546,15.098528458275137,15.18816336598787,15.205100928831401,17.48689164211938,14.77329844933891,16.01387873817556,11.697469197908013,12.254150012289712,11.854346014972938,11.418427610756662,12.47664955213985,13.49544788071277,11.417335461996766,12.229588407026908
