from_max_extention,OKC_extension_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg
10,3.1548383734350605,1.223936978307087,3.253095817915673,2.635831947097961,1.9832001419535459,0.2760668578042944,2.2078608134054374,1.6336378332390034,4.667178943950825,2.9912554253396824,7.640023117891322,4.5904808682965745,2.8530075537104573,1.328331313070288,6.088352411741228,2.9009754223687647
11,3.5060309022389506,1.5052659477878008,3.2252932803685175,2.9031069331929116,2.2243439621744137,0.4605384574318414,2.0982138891579782,1.7961952217027495,5.455970358160054,3.6562395166292925,7.716598092014238,5.211272608639014,3.451392220098513,1.8475851173884232,6.0545394364941565,3.3533348456638086
12,3.952120267056313,1.9949834581168693,3.420066796339161,3.2961713461878333,2.54826691796884,0.8442168956605292,2.2070516980948507,2.078564286463163,6.171183246821988,4.409286779985769,8.007914818953402,5.9180075515153066,3.990014996932941,2.4661190595322173,6.214124249061387,3.9019603714642708
13,4.499307058112123,2.5161983299117954,3.6785118956503653,3.6937617343489357,2.970062906555441,1.261424435584936,2.375659568288901,2.358638569821739,6.569163899631411,4.966706787577915,8.401633893751832,6.6206933316919585,4.201499850548217,2.9025443659845114,6.510914498086697,4.44636680363838
14,4.970564424815382,2.877314226085743,3.75446798689197,4.0048191808439935,3.3232846096110467,1.5500684119630517,2.385095878036738,2.567722975500684,6.974533633944633,5.260450125002543,8.727918227983812,7.15758217553441,4.454182895045339,3.0933093369954086,6.7551092458571,4.850143753536594
15,5.158083054510017,3.084874255894227,3.5409835888146066,4.305988186664062,3.410983233600151,1.7144849452409807,2.120049029457252,2.7723042997841456,7.2431374552887355,5.575535389448699,8.915329749491576,7.458448443220798,4.559642224594498,3.298009806750799,6.866683001881916,5.019500973788055
16,5.3976267484131935,3.2604672271873705,3.128713579903377,4.592356416460172,3.5477188403214774,1.8492831606708613,1.685757392168561,2.9703001175486428,7.8590491899175206,5.914262066602192,9.031935100264214,7.858772376218324,5.00447351572897,3.5254881737377155,6.913491748655153,5.284561332025588
17,5.548791790760099,3.4546611946443546,2.649197969900159,4.737250137592502,3.597896228755921,2.000312321012112,1.2173772830151979,3.044976861368712,8.656692445770458,6.3151384418662815,9.222034015886873,8.360921574584165,5.655818551335152,3.832116846064172,7.005705727597164,5.668839916821216
18,5.758111123669385,3.4964021229541116,2.599693800984385,4.794392772967525,3.710390930532115,2.0217057759091643,1.1679986990703615,3.0390588842442425,9.341300006193892,6.610457737218771,9.47036443402953,8.8107944318538,6.216626402872176,4.038953234782077,7.176261350045115,6.01300023891933
19,6.152594012283363,3.555100453731232,2.8472778445769498,4.853195055354102,4.018557117651385,2.057997572456995,1.4039137821846364,3.0473601209681855,9.847946598540176,6.785807452339136,9.8361342029403,9.17577259489318,6.6081026228655375,4.137111722439768,7.4763807051748525,6.282893121700875
20,6.499333764999841,3.847280262082336,3.219389587588812,4.822850079028441,4.317846903616935,2.3246631483879923,1.7600477447793859,2.998127831537932,10.258776970156388,7.1056545477130575,10.262783769648575,9.450024267473626,6.910789697934755,4.371252205197706,7.852670506608373,6.468337191887661
21,6.966314181789806,4.281239147518957,3.8520626348605784,4.981574938578879,4.721817468699591,2.749672656877686,2.3929529478850275,3.128422424099815,10.653939754821895,7.626299069921477,10.76263432123773,9.703561405943136,7.196681819188214,4.806918104715833,8.31757329277454,6.627092054505381
22,7.182116633382875,4.6721364334735025,4.524803775069321,5.2334303730911245,4.893937459672934,3.1384173585490505,3.118198645137369,3.353322640772687,11.071252695588823,8.253898060956093,11.268138187830235,10.032058224037637,7.5155036244706,5.349558381725584,8.783417881024324,6.868264691334806
23,7.410842798875081,4.9870092314345404,4.5778923393515285,5.578362637738021,5.0997731383030676,3.461181168551396,3.2678221448384535,3.682315690677546,11.619938356441212,8.759357806500311,11.756579776311959,10.51042487469483,7.955685909406322,5.7810626413782575,9.222905443467685,7.260253871196001
24,7.7235361117811605,5.3457404546142335,4.39971750532108,6.023783853115485,5.390327202447814,3.8243800978988176,3.147189721373323,4.119717013651464,12.122168380388866,8.980138497588499,12.33670300755767,11.029251068591678,8.354663671365124,5.945455741411503,9.746965598558718,7.6995564846633595
25,7.836558518099958,5.640752307321946,4.31365273415986,6.390662634611677,5.491286348605463,4.12254326391967,3.0866299930882546,4.502706564788909,12.496868030208043,9.038847400892454,12.763744391768093,11.48925438424253,8.648053059966928,5.9522112905366376,10.144062685134038,8.096155296136908
26,7.963226225473942,5.880294673959766,4.3244202827976075,6.5701584662236385,5.613642821489778,4.384424186654016,3.1293033726695287,4.714432865433182,12.72559742935302,9.157496901422924,13.265907856054515,11.807592369851086,8.822237102701859,6.019821886291136,10.62664201595519,8.364295873142895
27,8.176538236459658,6.067562159950379,4.308420714396059,6.680208142777966,5.827973612394762,4.618400751858401,3.1441516272907446,4.845053376586751,12.903413327395095,9.477156718008448,13.77592865091497,12.049247833127005,8.941769386255656,6.300958069426385,11.121093366194119,8.552887671516993
28,8.410085819096103,6.1078142203525125,4.360303511472283,6.809216535482314,6.068333618502313,4.694074876365559,3.22410417866811,4.992280443439027,13.180565476345807,9.818774499697998,14.197889524814347,12.374556126702636,9.13746664249372,6.6134579263332425,11.526583064947497,8.815343673878191
29,8.685529249658956,6.136019035917609,4.535895474183544,6.967042690546052,6.343956910926023,4.762607728676275,3.4229393125435874,5.176371522508816,13.678143781506117,10.112545986835325,14.54660431633944,12.789315962021387,9.57461760707111,6.871476152984446,11.862568254686753,9.187138418640844
30,9.050181504022056,6.249888150008486,4.724809086755424,7.096677606000613,6.683851925597924,4.918266281877289,3.647524666283596,5.319843987108909,14.132358939600305,10.3780302752192,14.852189115144835,13.221981430044774,9.9935884156664,7.091567961467526,12.162758993467921,9.59182175074861
31,9.465064774721192,6.422675633865394,4.943120356356859,7.261667900447432,7.052502190300686,5.124699442271005,3.9335463684973644,5.49222254323919,14.535381566616062,10.67712189368715,15.229733638650384,13.624253066382622,10.3682726421842,7.36116129202611,12.542580879728103,9.96753968521792
32,9.852057656881968,6.6007306373861105,5.189367560513465,7.48715255343507,7.37923234800388,5.339791984788096,4.291849667924085,5.719297158165752,14.882906745871267,10.975487064192357,15.505886555182233,13.969243180228773,10.669161717968926,7.648000914771725,12.824141781922275,10.27636321289165
33,10.184576465249613,6.733813684743279,5.373726569694362,7.718559188367214,7.64981777141202,5.514635369043718,4.568664449341453,5.953165137346373,15.122966864439219,11.268257184237184,15.737269227058206,14.265198689749106,10.857232162941793,7.929950751465941,13.058323722629115,10.540912867981886
